code,description,severity,system,possible_causes,recommended_actions
P0001,"Fuel Volume Regulator Control Circuit/Open",Medium,Fuel,"Faulty fuel volume regulator valve|Open or short in fuel volume regulator circuit|Failed ECM","Check wiring and connectors|Test fuel volume regulator resistance|Check ECM power and ground"
P0002,"Fuel Volume Regulator Control Circuit Range/Performance",Medium,Fuel,"Restricted fuel supply|Fuel volume regulator stuck|Fuel system contamination","Check fuel pressure|Inspect regulator for debris|Clean or replace fuel filter"
P0003,"Fuel Volume Regulator Control Circuit Low",Medium,Fuel,"Short to ground in regulator circuit|Damaged wiring harness|Failed ECM","Inspect wiring for damage|Test circuit continuity|Check ECM operation"
P0004,"Fuel Volume Regulator Control Circuit High",Medium,Fuel,"Short to power in regulator circuit|Damaged regulator|Failed ECM","Test circuit for shorts|Replace regulator if necessary|Check ECM output signals"
P0005,"Fuel Shutoff Valve Control Circuit/Open",Medium,Fuel,"Open in fuel shutoff valve control circuit|Failed fuel shutoff valve|ECM failure","Check wiring and connectors|Test shutoff valve operation|Verify ECM signals"
P0006,"Fuel Shutoff Valve Control Circuit Low",Medium,Fuel,"Short to ground in shutoff valve circuit|Damaged wiring|Failed ECM","Inspect wiring for damage|Test for continuity to ground|Check ECM output signals"
P0007,"Fuel Shutoff Valve Control Circuit High",Medium,Fuel,"Short to power in shutoff valve circuit|Failed shutoff valve|ECM failure","Test circuit for shorts to power|Replace valve if faulty|Verify ECM operation"
P0008,"Engine Position System Performance",High,Engine,"Timing chain/belt skipped|Camshaft position sensor failure|Crankshaft position sensor failure","Check timing components|Test position sensors|Verify timing calibration"
P0009,"Engine Position System Performance",High,Engine,"Incorrect valve timing|Timing actuator failure|Oil pressure issues affecting VVT","Inspect timing components|Check oil pressure and quality|Test VVT solenoids"
P0010,"'A' Camshaft Position Actuator Circuit",Medium,Engine,"Open or short in camshaft actuator circuit|Failed camshaft actuator solenoid|ECM failure","Check wiring and connectors|Test solenoid resistance|Verify ECM operation"
P0011,"'A' Camshaft Position - Timing Over-Advanced",Medium,Engine,"VVT solenoid failure|Oil flow or pressure issues|Failed camshaft phaser","Inspect VVT solenoid|Check oil quality and level|Test camshaft phaser operation"
P0012,"'A' Camshaft Position - Timing Over-Retarded",Medium,Engine,"VVT solenoid failure|Oil flow problems|Failed camshaft phaser","Inspect VVT solenoid|Check for oil flow restrictions|Test camshaft phaser operation"
P0013,"'B' Camshaft Position Actuator Circuit",Medium,Engine,"Open or short in camshaft actuator circuit|Failed camshaft actuator solenoid|ECM failure","Check wiring and connectors|Test solenoid resistance|Verify ECM operation"
